X,Y,ID,CVE_ENT,CVE_MUN,CVE_LOC,NOMVIAL,TIPOVIAL,SENTIDO,NOMVIAL_2,TIPOVIAL_2,SENTIDO_2,freq,RANGO,ETIQUETA
-101.157313555048,19.709862322207,13067.000000000000000,"16","053","0001",Antonio de Godoy,Calle,Dos sentidos,Filipinas,Calle,Dos sentidos,"4",2.000000000000000,Bajo (3-5)
-101.149088859546,19.7023008599655,13070.000000000000000,"16","053","0001",Nueva Tepeyac,Avenida,Dos sentidos,Garambullo,Calle,Dos sentidos,"4",2.000000000000000,Bajo (3-5)
-101.173766980382,19.6964268312784,13080.000000000000000,"16","053","0001",Fernando Montes de Oca,Calle,Un sentido,Juan Escutia,Calle,Un sentido,"1",1.000000000000000,Muy bajo (1-2)
-101.179850859733,19.6901440496408,13082.000000000000000,"16","053","0001",Ventura Puente,Calzada,Dos sentidos,Colegio de San Miguel,Calle,Dos sentidos,"8",4.000000000000000,Medio (6-10)
-101.172865660014,19.6877217396823,13086.000000000000000,"16","053","0001",Gobernador Aristeo Mercado,Calle,Un sentido,Gobernador Aristeo Mercado,Calle,Un sentido,"1",1.000000000000000,Muy bajo (1-2)
-101.155082687597,19.6935702243168,13101.000000000000000,"16","053","0001",Ocolusen,Calle,Dos sentidos,Ocolusen,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.152950860369,19.7283131498692,13103.000000000000000,"16","053","0001",Ninguno,Calle,Dos sentidos,Ninguno,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.192454699142,19.6740216190364,13112.000000000000000,"16","053","0001",Manuel Acuña,Calle,Dos sentidos,Rincón de Santa María,Privada,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.186481226789,19.6653148710362,13118.000000000000000,"16","053","0001",Congreso Insurgente (México),Calle,Dos sentidos,Miguel Lerdo de Tejada,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.159185082052,19.687999174249,13119.000000000000000,"16","053","0001",Enrique Ramírez Miguel,Avenida,Un sentido,Periférico Paseo de la República (Sector Nueva España),Circuito,Un sentido,"11",6.000000000000000,Alto (11-20)
-101.183743412146,19.6965420137529,13125.000000000000000,"16","053","0001",Ana María Gallaga,Calle,Un sentido,Isidro Huarte,Calle,Un sentido,"2",1.000000000000000,Muy bajo (1-2)
-101.176519012039,19.7081364137566,13128.000000000000000,"16","053","0001",Toma de Granaditas,Calle,Dos sentidos,2 de Mayo,Calle,Un sentido,"3",2.000000000000000,Bajo (3-5)
-101.183829501981,19.6989480743809,13138.000000000000000,"16","053","0001",Padre Lloreda (Manuel de la Torre),Calle,Un sentido,Isidro Huarte,Calle,Un sentido,"1",1.000000000000000,Muy bajo (1-2)
-101.184279412103,19.7058647243167,13139.000000000000000,"16","053","0001",Plan de Ayala,Calle,Un sentido,Revolución,Calle,Un sentido,"5",2.000000000000000,Bajo (3-5)
-101.194228791984,19.7047934938669,13142.000000000000000,"16","053","0001",Santiago Tapia,Calle,Un sentido,Guillermo Prieto,Calle,Un sentido,"2",1.000000000000000,Muy bajo (1-2)
-101.165829621692,19.6945794444146,13162.000000000000000,"16","053","0001",Alcázar de Chapultepec,Calle,Dos sentidos,Manuel Payno (Jesús Urbina),Calle,Un sentido,"1",1.000000000000000,Muy bajo (1-2)
-101.163239369685,19.7000530344442,13163.000000000000000,"16","053","0001",Hacienda de Corralejo,Calle,Dos sentidos,Cinco,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.141561340477,19.7259645999324,13166.000000000000000,"16","053","0001",Francisco I. Madero Oriente,Avenida,Dos sentidos,Francisco I. Madero Oriente,Avenida,Dos sentidos,"3",2.000000000000000,Bajo (3-5)
-101.18349370582,19.7339207909032,13187.000000000000000,"16","053","0001",Silvio Rodríguez,Privada,Dos sentidos,Rocío Próspero,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.183052856265,19.7339013839956,13188.000000000000000,"16","053","0001",Rocío Próspero,Calle,Dos sentidos,Morelos Norte,Avenida,Un sentido,"4",2.000000000000000,Bajo (3-5)
-101.171038267578,19.6805328903018,13190.000000000000000,"16","053","0001",Alfredo Zalce,Calle,Dos sentidos,Alfredo Zalce,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.152066058995,19.6923182433579,13195.000000000000000,"16","053","0001",Ocolusen,Calle,Dos sentidos,Ocolusen,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.150943580191,19.6860518495609,13200.000000000000000,"16","053","0001",Obispo Benefactor,Calle,Dos sentidos,Catedráticos de Salamanca,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.187939219253,19.7001800798581,13203.000000000000000,"16","053","0001",Vicente Santa María,Calle,Un sentido,Vicente Santa María,Calle,Un sentido,"1",1.000000000000000,Muy bajo (1-2)
-101.154577058577,19.6875336930712,13209.000000000000000,"16","053","0001",Periférico Paseo de la República (Sector Nueva España),Circuito,Un sentido,Periférico Paseo de la República (Sector Nueva España),Circuito,Un sentido,"1",1.000000000000000,Muy bajo (1-2)
-101.151511498689,19.6902156129939,13212.000000000000000,"16","053","0001",Uruguay,Cerrada,Dos sentidos,Uruguay,Avenida,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.188101822208,19.701971274207,13226.000000000000000,"16","053","0001",Fray Alonso de la Veracruz,Calle,Dos sentidos,Bartolomé de las Casas,Calle,Un sentido,"1",1.000000000000000,Muy bajo (1-2)
-101.18994619438,19.7000254582544,13227.000000000000000,"16","053","0001",Mariano Elizaga,Calle,Un sentido,Vasco de Quiroga,Calle,Un sentido,"1",1.000000000000000,Muy bajo (1-2)
-101.197830537449,19.6616151905579,13233.000000000000000,"16","053","0001",La Joya (Gobernador Licenciado José Trinidad Guido),Avenida,Dos sentidos,La Joya (Gobernador Licenciado José Trinidad Guido),Avenida,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.197629475424,19.6619132309858,13234.000000000000000,"16","053","0001",La Joya (Gobernador Licenciado José Trinidad Guido),Avenida,Dos sentidos,Eucalipto,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.192801287245,19.6668954912549,13237.000000000000000,"16","053","0001",Arcadio Zentella Priego,Calle,Dos sentidos,Arcadio Zentella Priego,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.192024736089,19.6891370909465,13257.000000000000000,"16","053","0001",Morelos Sur,Avenida,Un sentido,Morelos Sur,Avenida,Un sentido,"1",1.000000000000000,Muy bajo (1-2)
-101.184571152808,19.7262189166259,13261.000000000000000,"16","053","0001",El Pensador Mexicano,Calle,Dos sentidos,El Pensador Mexicano,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
-101.184759302699,19.7256701369626,13262.000000000000000,"16","053","0001",El Pensador Mexicano,Calle,Dos sentidos,Basilio de Velasco (Cerrada Pablo José Peguero),Calle,Dos sentidos,"2",1.000000000000000,Muy bajo (1-2)
-101.157211640457,19.7049004099568,13265.000000000000000,"16","053","0001",Juan de la Cueva,Calle,Dos sentidos,Juan de la Cueva,Calle,Dos sentidos,"1",1.000000000000000,Muy bajo (1-2)
